Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
485.00	1.9792	47.207	0.021183	16.281	16.323	43.990	59.010	82.191	1293.0	-0.071893	126.69	0.65168	0.034954	0.55174	1.8125	46.821	50.408	114.27	38.814	57.323	504.68	22.127	16.072	0.040824
495.00	2.4028	46.507	0.021502	17.102	17.153	45.665	58.401	83.363	1257.9	-0.055036	120.70	0.64373	0.032637	0.66758	1.4980	46.869	50.469	112.97	40.205	60.605	504.74	20.296	16.419	0.043027
505.00	2.8931	45.774	0.021847	17.932	17.995	47.328	57.824	84.712	1220.8	-0.035903	115.21	0.63494	0.030304	0.80295	1.2454	46.895	50.498	111.69	41.648	64.279	504.21	18.648	16.770	0.045418
515.00	3.4571	45.003	0.022221	18.774	18.851	48.982	57.281	86.274	1181.6	-0.014030	110.15	0.62533	0.027959	0.96075	1.0409	46.894	50.492	110.42	43.148	68.432	503.06	17.163	17.129	0.048025
525.00	4.1019	44.192	0.022628	19.630	19.723	50.631	56.775	88.096	1140.5	0.011177	105.44	0.61489	0.025608	1.1444	0.87379	46.864	50.448	109.16	44.710	73.181	501.23	15.820	17.498	0.050888
535.00	4.8349	43.336	0.023076	20.501	20.613	52.278	56.307	90.242	1097.1	0.040493	101.01	0.60363	0.023253	1.3582	0.73625	46.803	50.362	107.88	46.347	78.686	498.68	14.602	17.882	0.054060
545.00	5.6640	42.429	0.023569	21.390	21.523	53.928	55.884	92.802	1051.6	0.074951	96.826	0.59153	0.020902	1.6073	0.62215	46.705	50.228	106.60	48.070	85.170	495.32	13.492	18.284	0.057617
555.00	6.5976	41.463	0.024118	22.299	22.458	55.587	55.511	95.904	1003.5	0.11595	92.820	0.57856	0.018561	1.8983	0.52680	46.565	50.041	105.29	49.893	92.949	491.07	12.475	18.711	0.061672
565.00	7.6444	40.430	0.024734	23.232	23.421	57.261	55.199	99.735	952.85	0.16546	88.948	0.56468	0.016236	2.2395	0.44652	46.378	49.792	103.94	51.835	102.49	485.83	11.537	19.171	0.066389
575.00	8.8140	39.317	0.025434	24.194	24.418	58.959	54.964	104.59	899.25	0.22630	85.158	0.54982	0.013937	2.6426	0.37842	46.135	49.470	102.53	53.916	114.50	479.46	10.664	19.677	0.072029
585.00	10.117	38.106	0.026243	25.192	25.457	60.693	54.828	110.94	842.34	0.30266	81.397	0.53389	0.011673	3.1232	0.32018	45.823	49.062	101.04	56.163	130.16	471.80	9.8442	20.246	0.079006
595.00	11.563	36.772	0.027195	26.234	26.549	62.477	54.829	119.61	781.60	0.40108	77.602	0.51675	0.0094591	3.7045	0.26994	45.426	48.547	99.450	58.617	151.50	462.60	9.0638	20.903	0.088026
605.00	13.167	35.277	0.028347	27.337	27.710	64.338	55.038	132.22	716.21	0.53256	73.691	0.49822	0.0073112	4.4223	0.22613	44.919	47.897	97.705	61.338	182.43	451.52	8.3076	21.690	0.10036
615.00	14.943	33.558	0.029800	28.522	28.968	66.315	55.593	152.54	644.33	0.71830	69.535	0.47808	0.0052528	5.3371	0.18737	44.262	47.062	95.736	64.438	231.63	437.99	7.5564	22.681	0.11850
625.00	16.908	31.478	0.031768	29.841	30.379	68.493	56.880	192.27	561.45	1.0074	64.884	0.45638	0.0033194	6.5661	0.15230	43.377	45.952	93.410	68.168	323.26	420.87	6.7808	24.027	0.14808
635.00	19.086	28.682	0.034865	31.424	32.090	71.093	60.388	302.57	459.03	1.5265	59.094	0.43597	0.0015728	8.4010	0.11903	42.079	44.351	90.402	73.345	563.36	397.19	5.9159	26.121	0.20630
645.00	21.515	23.594	0.042384	33.878	34.789	75.164	75.074	1681.7	325.47	2.7545	49.849	0.48122	0.00017569	12.459	0.080264	39.366	41.093	84.937	87.452	3446.7	346.60	4.6025	31.504	0.45600
